2296,2617,2862,2862,0,1,1,0.3125,0.139808,1.13981,0
1689,2198,2198,2198,0,1,1,-0.458333,0.301362,1.30136,0
2219,2785,2785,2728,0,1,1,-0.458333,0.25507,1.25507,0
585,1151,1151,1094,0,1,1,-0.458333,0.967521,1.96752,0
724,1290,1290,1290,0,1,1,-0.458333,0.781768,1.78177,0
1807,2373,2373,2316,0,1,1,-0.458333,0.313226,1.31323,0
1516,1995,2082,2025,0,1,1,-0.458333,0.315963,1.31596,0
361,927,927,927,0,1,1,-0.458333,1.56787,2.56787,0
908,1167,1473,1417,0,1,1,-0.458333,0.285242,1.28524,0
275,841,841,784,0,1,1,-0.458333,2.05818,3.05818,0
818,1384,1384,1384,0,1,1,-0.458333,0.691932,1.69193,0
770,1335,1335,1279,0,1,1,-0.458333,0.733766,1.73377,0
1090,1656,1656,1599,0,1,1,-0.458333,0.519266,1.51927,0
431,997,997,997,0,1,1,-0.458333,1.31323,2.31323,0
372,937,937,881,0,1,1,-0.458333,1.51882,2.51882,0
1244,1810,1810,1753,0,1,1,-0.458333,0.454984,1.45498,0
652,1218,1218,1161,0,1,1,-0.458333,0.868098,1.8681,0
1210,1776,1776,1719,0,1,1,-0.125,0.467769,1.46777,0
1834,2400,2400,2343,0,1,1,-0.125,0.308615,1.30862,0
1425,1990,1990,1934,0,1,1,-0.125,0.396491,1.39649,0
377,943,943,886,0,1,1,-0.125,1.50133,2.50133,0
1391,1957,1957,1900,0,1,1,-0.125,0.406902,1.4069,0
1172,1738,1738,1681,0,1,0,-0.125,0.482935,1.48294,0
560,1126,1126,1069,0,1,1,-0.125,1.01071,2.01071,0
1082,1648,1648,1591,0,1,1,-0.125,0.523105,1.52311,0
12867,5823,6514,9676,1,1,1,-0.125,0.547447,0.452553,1
11234,5005,4961,5634,0,1,0,-0.125,0.554477,0.445523,1
5816,5872,6134,5937,2,1,1,-0.125,0.00962861,1.00963,1
11567,11991,11954,10574,7,1,1,-0.125,0.036656,1.03666,1
1310,1819,2200,2144,1,1,1,-0.125,0.38855,1.38855,1
1161,1458,1800,1499,0,1,1,-0.125,0.255814,1.25581,0
1089,1598,1541,1541,0,1,1,-0.125,0.467401,1.4674,0
1380,1889,1889,1833,0,1,1,0.166667,0.368841,1.36884,0
1244,1753,1753,1697,0,1,1,0.166667,0.409164,1.40916,0
779,1395,1288,1232,0,1,1,0.166667,0.790757,1.79076,0
1007,1516,1516,1459,0,1,1,0.166667,0.505462,1.50546,0
