@relation relation

@attribute RDcost_MSM numeric
@attribute RDcost_2Nx2N numeric
@attribute RDcost_2NxN numeric
@attribute RDcost_Nx2N numeric
@attribute part {0,1,2,3,4,5,6,7}
@attribute MergeFlag {0,1}
@attribute SkipMergeFlag {0,1}
@attribute med_med numeric
@attribute neighDepth_diff numeric
@attribute SplitQuadtree {0,1}

@data
615,962,962,962,0,1,1,0.666667,-1.33333,0
410,983,983,983,0,1,1,0.666667,-1.33333,0
593,943,1000,943,0,1,1,0.666667,-1.33333,0
822,1354,1354,1354,0,1,1,0.666667,-1.33333,0
489,1032,1032,1032,0,1,1,0.666667,-1.33333,0
914,1381,1381,1381,0,1,1,0.666667,-1.33333,0
285,843,843,843,0,1,1,0.666667,-1.33333,0
346,979,979,979,0,1,1,0.666667,-1.33333,0
993,1191,1175,1175,0,1,1,0.666667,-1.33333,0
398,1051,1108,1051,0,1,1,0.666667,-1.33333,0
1068,1269,1272,1215,0,0,0,0.666667,-1.33333,0
974,1540,1483,1483,6,1,0,0.833333,-1.16667,0
560,786,956,786,6,1,0,0.833333,-1.16667,0
376,885,885,828,0,1,1,0.833333,-1.16667,0
806,1239,1349,1015,2,1,0,0.833333,-1.16667,0
358,867,810,810,0,1,1,0.833333,-1.16667,0
400,909,852,796,0,1,1,0.833333,-1.16667,0
1363,1799,1845,1832,0,0,0,0.833333,-1.16667,0
2580,2808,2919,2863,6,1,0,0.833333,-1.16667,0
464,973,973,917,0,1,1,1.16667,-0.833333,0
515,911,1194,820,2,1,0,1.16667,-0.833333,0
426,992,935,879,0,1,1,1.16667,-0.833333,0
410,919,863,863,0,1,1,1.16667,-0.833333,0
446,955,898,898,0,1,1,1.16667,-0.833333,0
547,1062,1458,1402,0,1,1,1.16667,-0.833333,0
392,958,901,901,0,1,1,1.16667,-0.833333,0
644,1342,1239,1137,0,1,1,1.16667,-0.833333,0
459,911,911,855,0,1,1,1.16667,-0.833333,0
592,1342,1101,1253,0,1,1,1.16667,-0.833333,0
457,909,909,853,0,1,1,1.16667,-0.833333,0
433,979,942,886,0,1,1,1.16667,-0.833333,0
669,1204,1276,1202,0,1,1,1.16667,-0.833333,0
522,1031,1031,975,0,1,1,1.16667,-0.833333,0
406,1036,859,1076,0,1,1,1.16667,-0.833333,0
819,1328,1328,1271,0,1,1,1.16667,-0.833333,0
444,1233,1742,1722,0,1,1,0.666667,-1.33333,0
592,1200,1200,1144,0,1,1,0.666667,-1.33333,0
1291,2081,2178,2322,0,1,1,0.666667,-1.33333,0
1224,1619,1865,1958,0,0,0,0.666667,-1.33333,0
584,1219,1219,1163,0,1,0,0.666667,-1.33333,0
678,1477,1477,1420,0,1,1,0.666667,-1.33333,0
1015,1857,1832,1775,0,1,1,0.666667,-1.33333,0
706,1441,1889,1822,0,1,1,0.666667,-1.33333,0
867,1512,1716,1660,0,1,1,0.666667,-1.33333,0
1010,1439,1948,2221,0,1,1,0.666667,-1.33333,0
1240,1449,1683,1929,0,1,1,0.666667,-1.33333,0
1198,1630,1814,1734,0,0,0,0.666667,-1.33333,0
955,1464,1464,1407,0,1,1,0.666667,-1.33333,0
586,1095,1095,1038,0,1,1,0.666667,-1.33333,0
761,1213,1213,1326,0,1,0,1,-1,0
367,933,933,876,0,1,0,1,-1,0
628,1364,1194,1137,0,1,1,1,-1,0
1701,2056,2553,3851,7,0,0,1,-1,0
493,889,832,832,2,1,0,1,-1,0
537,933,989,941,0,0,0,1,-1,0
564,1073,1073,1017,6,0,0,1,-1,0
